Flow_id,device,eth_Type,timeout,bord,nmbr_occ,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,total packets,total bytes,tot_forward_pkts,tot_backward_pkts,tot_forward_len_pkts,tot_backward_len_pkts,Pkts_len_mean,Flow Pkts/s,Flow Byts/s,Frd Flow PKts/s,Bwd Flow Pkts/s,Frd Flow Byts/s,Bwd Flow Byts/s,Frd_pkts_max_interval_2s,Frd_pkts_min_interval_2s,Frd_pkts_mean_interval_2s,Frd_pkts_std_interval_2s,Bwd_pkts_max_interval_2s,Bwd_pkts_min_interval_2s,Bwd_pkts_mean_interval_2s,Bwd_pkts_std_interval_2s,Frd_bytes_max_interval_2s,Frd_bytes_min_interval_2s,Frd_bytes_mean_interval_2s,Frd_bytes_std_interval_2s,Bwd_bytes_max_interval_2s,Bwd_bytes_min_interval_2s,Bwd_bytes_mean_interval_2s,Bwd_bytes_std_interval_2s,Idle_Max,Idle_Min,Idle_Mean,Idle_Std,Active_Max,Active_Min,Active_Mean,Active_Std,Total_packets_src,Total_bytes_src,Number_of_flows_src,Total_packets_dst,Total_bytes_dst,Number_of_flows_dst,timestamp
45880421652483853,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,0,3,218,1,2,66,152,72.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,66.0,1.0,1.0,66.0,1.0,80777619
45880425430134342,of:00004e7de7353a40,0x800,10,1,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,80777499
45880421652483853,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,2,21,4532,10,11,2646,1886,215.8095238095238,10.5,2266.0,5.0,5.5,1323.0,943.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,2580.0,2580.0,2580.0,0.0,1734.0,1734.0,1734.0,0.0,0,0,0,0,2000,2000,2000,0,10.0,2646.0,1.0,10.0,2646.0,1.0,80779619
45880425430134342,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,1,21,4532,10,11,2646,1886,215.8095238095238,21.0,4532.0,10.0,11.0,2646.0,1886.0,10.0,10.0,10.0,0.0,11.0,11.0,11.0,0.0,2646.0,2646.0,2646.0,0.0,1886.0,1886.0,1886.0,0.0,0,0,0,0,2000,2000,2000,0,10.0,2646.0,1.0,10.0,2646.0,1.0,80779502
45880421652483853,of:00006a0c44499c45,0x800,10,1,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,4,32,5850,17,15,3380,2470,182.8125,8.0,1462.5,4.25,3.75,845.0,617.5,9.0,7.0,8.0,1.41,9.0,4.0,6.5,3.54,2580.0,734.0,1657.0,1305.32,1734.0,584.0,1159.0,813.17,0,0,0,0,4000,4000,4000,0,17.0,3380.0,1.0,17.0,3380.0,1.0,80781619
45880425430134342,of:00004e7de7353a40,0x800,10,1,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,3,27,5216,14,13,3046,2170,193.1851851851852,9.0,1738.66,4.67,4.33,1015.33,723.33,10.0,4.0,7.0,4.24,11.0,2.0,6.5,6.36,2646.0,400.0,1523.0,1588.16,1886.0,284.0,1085.0,1132.79,0,0,0,0,4000,4000,4000,0,14.0,3046.0,1.0,14.0,3046.0,1.0,80781502
45880421652483853,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,6,33,5916,18,15,3446,2470,179.27272727272728,5.5,986.0,3.0,2.5,574.33,411.67,9.0,1.0,5.67,4.16,9.0,0.0,4.33,4.51,2580.0,66.0,1126.67,1302.19,1734.0,0.0,772.67,882.26,0,0,0,0,6000,6000,6000,0,18.0,3446.0,2.0,18.0,3446.0,2.0,80783619
45880421724559136,of:00006a0c44499c45,0x800,10,0,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,18.0,3446.0,2.0,18.0,3446.0,2.0,80783685
45880422980825784,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42168,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,18.0,3446.0,2.0,18.0,3446.0,2.0,80783682
45880425430134342,of:00004e7de7353a40,0x800,10,0,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42166,6,33,5916,18,15,3446,2470,179.27272727272728,6.1,1100.8700000000001,3.6,2.5,689.2,411.67,10.0,4.0,6.0,3.46,11.0,2.0,5.0,5.2,2646.0,400.0,1148.67,1296.73,1886.0,284.0,823.33,920.33,0,0,0,0,6000,6000,6000,0,18.0,3446.0,2.0,18.0,3446.0,2.0,80783502
