Flow_ID,device,eth_Type,timeout,bord,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,tot_pkts,tot_bytes,timestamp
844425920421001,of:0000328dd09ba943,0x800,10,0,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35462,8080,1,9,1672,13:20:25.713
844425480957081,of:0000328dd09ba943,0x800,10,0,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35462,1,9,5216,13:20:25.713
844425920421001,of:0000328dd09ba943,0x800,10,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35462,8080,3,9,1672,13:20:27.713
844425480957081,of:0000328dd09ba943,0x800,10,1,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35462,3,9,5216,13:20:27.713
844427571198767,of:0000328dd09ba943,0x800,10,1,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35464,0,0,0,13:20:27.734
844426455869239,of:0000328dd09ba943,0x800,10,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35464,8080,0,0,0,13:20:27.727
844425920421001,of:0000328dd09ba943,0x800,10,0,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35462,8080,5,9,1672,13:20:29.713
844425480957081,of:0000328dd09ba943,0x800,10,0,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35462,5,9,5216,13:20:29.713
844427571198767,of:0000328dd09ba943,0x800,10,0,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35464,1,4,559,13:20:29.713
844426455869239,of:0000328dd09ba943,0x800,10,0,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35464,8080,1,4,536,13:20:29.713
844425920421001,of:0000328dd09ba943,0x800,10,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35462,8080,7,9,1672,13:20:31.713
844425480957081,of:0000328dd09ba943,0x800,10,1,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35462,7,9,5216,13:20:31.713
844427571198767,of:0000328dd09ba943,0x800,10,1,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35464,3,4,559,13:20:31.713
844426455869239,of:0000328dd09ba943,0x800,10,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35464,8080,3,4,536,13:20:31.713
844425920421001,of:0000328dd09ba943,0x800,10,0,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35462,8080,9,9,1672,13:20:33.713
844425480957081,of:0000328dd09ba943,0x800,10,0,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35462,9,9,5216,13:20:33.713
844427571198767,of:0000328dd09ba943,0x800,10,0,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35464,5,4,559,13:20:33.713
844426455869239,of:0000328dd09ba943,0x800,10,0,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35464,8080,5,4,536,13:20:33.713
844425920421001,of:0000328dd09ba943,0x800,10,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35462,8080,11,9,1672,13:20:35.713
844425480957081,of:0000328dd09ba943,0x800,10,1,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35462,11,9,5216,13:20:35.713
844427571198767,of:0000328dd09ba943,0x800,10,1,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35464,7,4,559,13:20:35.713
844426455869239,of:0000328dd09ba943,0x800,10,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35464,8080,7,4,536,13:20:35.713
844425431499393,of:0000328dd09ba943,0x800,10,0,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35466,8080,0,4,546,13:20:37.713
844428650122245,of:0000328dd09ba943,0x800,10,0,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35466,0,4,559,13:20:37.713
844427571198767,of:0000328dd09ba943,0x800,10,0,False,10,1,2,08:00:27:AF:96:7C,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,8080,35464,9,4,559,13:20:37.713
844426455869239,of:0000328dd09ba943,0x800,10,0,False,10,2,1,08:00:27:02:34:4F,08:00:27:AF:96:7C,192.168.1.26/32,192.168.1.25/32,6,35464,8080,9,4,536,13:20:37.713
