Flow_ID,device,eth_Type,timeout,bord,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,tot_pkts,tot_bytes,timestamp
45880424199018377,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,41972,21,0,0,0,13:02:06.165
45880422540445358,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,0,0,0,13:02:06.209
45880424629725405,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,0,0,0,13:02:06.215
45880422076212324,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,21,41972,0,0,0,13:02:06.166
45880424199018377,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,41972,21,1,8,590,13:02:07.754
45880422540445358,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,1,74624,108708680,13:02:07.754
45880424629725405,of:00006a0c44499c45,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,1,13092,864072,13:02:07.754
45880422076212324,of:00006a0c44499c45,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,21,41972,1,7,641,13:02:07.754
45880424199018377,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,41972,21,3,8,590,13:02:09.753
45880422540445358,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,3,174680,255611368,13:02:09.754
45880424629725405,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,3,27638,1824396,13:02:09.754
45880422076212324,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,21,41972,3,7,641,13:02:09.753
45880424199018377,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,41972,21,5,8,590,13:02:11.754
45880422540445358,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,5,271474,397672196,13:02:11.754
45880424629725405,of:00006a0c44499c45,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,5,41721,2753982,13:02:11.755
45880422076212324,of:00006a0c44499c45,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,21,41972,5,7,641,13:02:11.754
45880424199018377,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,41972,21,7,8,590,13:02:13.753
45880422540445358,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,7,378146,554366692,13:02:13.753
45880424629725405,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,7,56947,3759114,13:02:13.753
45880422076212324,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,21,41972,7,7,641,13:02:13.753
45880424199018377,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,41972,21,9,8,590,13:02:15.754
45880422540445358,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,9,487147,714165102,13:02:15.754
45880424629725405,of:00006a0c44499c45,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,9,73504,4851888,13:02:15.754
45880422076212324,of:00006a0c44499c45,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,21,41972,9,7,641,13:02:15.754
45880422540445358,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,11,589731,864721870,13:02:17.754
45880424629725405,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,11,88545,5844702,13:02:17.754
45880422540445358,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,13,674133,988012194,13:02:19.756
45880424629725405,of:00006a0c44499c45,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,13,103001,6798798,13:02:19.756
45880422540445358,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,15,790265,1158171058,13:02:21.753
45880424629725405,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,15,121146,7996560,13:02:21.754
45880422540445358,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,17,897685,1315855306,13:02:23.753
45880424629725405,of:00006a0c44499c45,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,17,137287,9061950,13:02:23.753
45880422540445358,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,19,1015202,1488969092,13:02:25.753
45880424629725405,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,19,152243,10049058,13:02:25.753
45880422540445358,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,21,1116838,1637905420,13:02:27.754
45880424629725405,of:00006a0c44499c45,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,21,167897,11082306,13:02:27.754
45880422540445358,of:00006a0c44499c45,0x800,10,0,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,23,1219750,1788515908,13:02:29.754
45880424629725405,of:00006a0c44499c45,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:74:BA:C4,192.168.1.36/32,192.168.1.35/32,6,25138,40660,23,184361,12168930,13:02:29.754
45880422540445358,of:00006a0c44499c45,0x800,10,1,False,10,2,3,08:00:27:74:BA:C4,08:00:27:D4:A3:EA,192.168.1.35/32,192.168.1.36/32,6,40660,25138,25,1325299,1943230734,13:02:31.755
