Flow_ID,device,eth_Type,timeout,bord,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,tot_pkts,tot_bytes,timestamp
844427636405567,of:0000328dd09ba943,0x800,10,1,False,10,1,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,0,0,0,09:47:49.976
844425558571621,of:0000328dd09ba943,0x800,10,1,False,10,3,1,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,0,0,0,09:47:49.976
844427677241428,of:0000000000000003,0x800,10,1,False,10,1,3,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,0,0,0,09:47:49.683
844427176475361,of:0000000000000003,0x800,10,1,False,10,3,1,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,0,0,0,09:47:49.690
844426829086894,of:0000000000000001,0x800,10,1,False,10,4,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,0,0,0,09:47:49.767
844426813024765,of:0000000000000001,0x800,10,1,False,10,3,4,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,0,0,0,09:47:49.767
844425193140390,of:0000000000000002,0x800,10,1,False,10,3,2,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,0,0,0,09:47:49.757
844427093403252,of:0000000000000002,0x800,10,1,False,10,2,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,0,0,0,09:47:49.757
844428892881793,of:0000ca7544dc0642,0x800,10,1,False,10,4,3,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,0,0,0,09:47:50.271
844427515694190,of:0000ca7544dc0642,0x800,10,1,False,10,3,4,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,0,0,0,09:47:50.271
844427636405567,of:0000328dd09ba943,0x800,10,0,False,10,1,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,2,2,196,09:47:51.977
844425558571621,of:0000328dd09ba943,0x800,10,0,False,10,3,1,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,2,2,196,09:47:51.977
844427677241428,of:0000000000000003,0x800,10,0,False,10,1,3,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,2,1,98,09:47:51.683
844427176475361,of:0000000000000003,0x800,10,0,False,10,3,1,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,1,1,98,09:47:51.683
844425126915203,of:0000000000000001,0x800,10,0,False,10,2,4,0A:70:77:7B:D0:1D,08:00:27:2B:93:DE,192.168.1.46/32,192.168.1.36/32,N/A,N/A,N/A,0,0,0,09:47:51.767
844426829086894,of:0000000000000001,0x800,10,0,False,10,4,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,2,1,98,09:47:51.767
844427279741526,of:0000000000000001,0x800,10,0,False,10,4,2,08:00:27:2B:93:DE,0A:70:77:7B:D0:1D,192.168.1.36/32,192.168.1.46/32,N/A,N/A,N/A,0,0,0,09:47:51.767
844426813024765,of:0000000000000001,0x800,10,0,False,10,3,4,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,2,1,98,09:47:51.767
844425193140390,of:0000000000000002,0x800,10,0,False,10,3,2,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,2,1,98,09:47:51.757
844427093403252,of:0000000000000002,0x800,10,0,False,10,2,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,2,1,98,09:47:51.757
844428892881793,of:0000ca7544dc0642,0x800,10,0,False,10,4,3,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,2,2,196,09:47:52.271
844428743179016,of:0000ca7544dc0642,0x800,10,0,False,10,2,4,08:00:27:2B:93:DE,0A:70:77:7B:D0:1D,192.168.1.36/32,192.168.1.46/32,N/A,N/A,N/A,0,0,0,09:47:52.271
844426420892867,of:0000ca7544dc0642,0x800,10,0,False,10,4,2,0A:70:77:7B:D0:1D,08:00:27:2B:93:DE,192.168.1.46/32,192.168.1.36/32,N/A,N/A,N/A,0,0,0,09:47:52.271
844427515694190,of:0000ca7544dc0642,0x800,10,0,False,10,3,4,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,2,2,196,09:47:52.271
844427833836963,of:0000328dd09ba943,0x800,10,1,False,10,3,2,FA:81:8F:EF:27:BC,08:00:27:02:34:4F,192.168.1.47/32,192.168.1.26/32,N/A,N/A,N/A,0,0,0,09:47:53.977
844427636405567,of:0000328dd09ba943,0x800,10,1,False,10,1,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,4,3,294,09:47:53.977
844425558571621,of:0000328dd09ba943,0x800,10,1,False,10,3,1,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,4,3,294,09:47:53.976
844427103157757,of:0000328dd09ba943,0x800,10,1,False,10,2,3,08:00:27:02:34:4F,FA:81:8F:EF:27:BC,192.168.1.26/32,192.168.1.47/32,N/A,N/A,N/A,0,0,0,09:47:53.976
844427677241428,of:0000000000000003,0x800,10,1,False,10,1,3,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,4,3,294,09:47:53.683
