Flow_ID,device,eth_Type,timeout,bord,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,tot_pkts,tot_bytes,timestamp
45880423474813444,of:00006a0c44499c45,0x800,10,0,False,10,5,1,E2:5E:3B:D8:71:73,08:00:27:02:34:4F,192.168.1.49/32,192.168.1.26/32,17,52671,1234,0,231,318930,12:08:53.755
45880423332360786,of:00006a0c44499c45,0x800,10,0,False,10,1,5,08:00:27:02:34:4F,E2:5E:3B:D8:71:73,192.168.1.26/32,192.168.1.49/32,N/A,N/A,N/A,0,5,2938,12:08:53.755
45880424742124817,of:00004e7de7353a40,0x800,10,0,False,10,3,2,E2:5E:3B:D8:71:73,08:00:27:02:34:4F,192.168.1.49/32,192.168.1.26/32,17,52671,1234,0,5,5818,12:08:53.459
45880422335222426,of:00004e7de7353a40,0x800,10,0,False,10,2,3,08:00:27:02:34:4F,E2:5E:3B:D8:71:73,192.168.1.26/32,192.168.1.49/32,N/A,N/A,N/A,0,3,1758,12:08:53.459
45880422820271623,of:0000000000000003,0x800,10,0,False,10,2,3,E2:5E:3B:D8:71:73,08:00:27:02:34:4F,192.168.1.49/32,192.168.1.26/32,17,52671,1234,1,331,438442,12:08:54.206
45880424367836443,of:0000000000000003,0x800,10,0,False,10,3,2,08:00:27:02:34:4F,E2:5E:3B:D8:71:73,192.168.1.26/32,192.168.1.49/32,N/A,N/A,N/A,1,5,2938,12:08:54.206
45880423972705031,of:0000000000000001,0x800,10,0,False,10,3,6,E2:5E:3B:D8:71:73,08:00:27:02:34:4F,192.168.1.49/32,192.168.1.26/32,17,52671,1234,1,334,442984,12:08:54.194
45880425189332942,of:0000000000000001,0x800,10,0,False,10,6,3,08:00:27:02:34:4F,E2:5E:3B:D8:71:73,192.168.1.26/32,192.168.1.49/32,N/A,N/A,N/A,1,5,2938,12:08:54.194
45880422704793288,of:0000000000000002,0x800,10,0,False,10,3,2,E2:5E:3B:D8:71:73,08:00:27:02:34:4F,192.168.1.49/32,192.168.1.26/32,17,52671,1234,1,333,441470,12:08:54.151
45880422853090788,of:0000000000000002,0x800,10,0,False,10,2,3,08:00:27:02:34:4F,E2:5E:3B:D8:71:73,192.168.1.26/32,192.168.1.49/32,N/A,N/A,N/A,1,5,2938,12:08:54.151
45880423474813444,of:00006a0c44499c45,0x800,10,1,False,10,5,1,E2:5E:3B:D8:71:73,08:00:27:02:34:4F,192.168.1.49/32,192.168.1.26/32,17,52671,1234,2,619,770446,12:08:55.755
45880424764022713,of:00006a0c44499c45,0x800,10,1,False,10,5,1,E2:5E:3B:D8:71:73,08:00:27:CA:01:42,192.168.1.49/32,192.168.1.25/32,17,33573,5888,0,238,327656,12:08:55.755
45880421678609983,of:00006a0c44499c45,0x800,10,1,False,10,1,5,08:00:27:CA:01:42,E2:5E:3B:D8:71:73,192.168.1.25/32,192.168.1.49/32,N/A,N/A,N/A,0,3,1758,12:08:55.755
